nWifi	payloadSize	throughput
30	6024	5.59027
30	6524	5.63674
30	7024	4.60774
30	7524	5.2367
30	8024	5.13536
30	8524	5.25078
30	9024	5.34221
30	9524	5.33344
30	10024	5.13229
31	1024	3.97312
31	1524	4.68173
31	2024	5.31098
31	2524	4.48262
31	3024	4.95936
31	3524	5.15914
31	4024	5.50483
31	4524	4.88592
31	5024	5.024
31	5524	4.9937
31	6024	5.54208
31	6524	5.53235
31	7024	5.00109
31	7524	5.17651
31	8024	5.19955
31	8524	5.31898
31	9024	5.34221
31	9524	5.10486
31	10024	5.0521
32	1024	3.8912
32	1524	4.7183
32	2024	5.27859
32	2524	4.48262
32	3024	4.69325
32	3524	5.24371
32	4024	5.37606
32	4524	4.84973
32	5024	4.82304
32	5524	5.03789
32	6024	5.49389
32	6524	5.58454
32	7024	5.16966
32	7524	5.2969
32	8024	5.19955
32	8524	5.45536
32	9024	5.77536
32	9524	5.18106
32	10024	5.13229
33	1024	3.94854
33	1524	4.77926
33	2024	5.29478
33	2524	4.62397
33	3024	4.93517
33	3524	5.35648
33	4024	5.31168
33	4524	4.9583
33	5024	4.90342
33	5524	5.21466
33	6024	5.4457
33	6524	5.79331
33	7024	5.33824
33	7524	5.2969
33	8024	5.00698
33	8524	5.31898
33	9024	5.27002
33	9524	5.02867
33	10024	5.53325
34	1024	3.83386
34	1524	4.79146
34	2024	5.40813
34	2524	4.64416
34	3024	5.08032
34	3524	5.07456
34	4024	5.69798
34	4524	4.74115
34	5024	5.06419
34	5524	5.47981
34	6024	5.3975
34	6524	5.58454
34	7024	5.00109
34	7524	4.99594
34	8024	5.26374
34	8524	5.65994
34	9024	5.55878
34	9524	5.18106
34	10024	5.0521
35	1024	3.83386
35	1524	4.69392
35	2024	5.32717
35	2524	4.48262
35	3024	4.88678
35	3524	5.3001
35	4024	5.40826
35	4524	4.88592
35	5024	4.90342
35	5524	5.30304
35	6024	5.34931
35	6524	5.48016
35	7024	5.00109
35	7524	5.11632
35	8024	5.07117
35	8524	5.31898
35	9024	5.77536
35	9524	4.95248
35	10024	4.9719
36	1024	3.96493
36	1524	4.70611
36	2024	5.39194
36	2524	4.52301
36	3024	5.00774
36	3524	5.2719
36	4024	5.37606
36	4524	4.81354
36	5024	5.14458
36	5524	5.21466
36	6024	5.4457
36	6524	5.68893
36	7024	4.83251
36	7524	5.35709
36	8024	5.19955
36	8524	5.38717
36	9024	5.77536
36	9524	4.87629
36	10024	5.61344
37	1024	3.91578
37	1524	4.86461
37	2024	5.39194
37	2524	4.5432
37	3024	4.8384
37	3524	5.24371
37	4024	5.44045
37	4524	4.9945
37	5024	5.14458
37	5524	5.03789
37	6024	5.25293
37	6524	5.63674
37	7024	5.16966
37	7524	4.99594
37	8024	5.32794
37	8524	5.31898
37	9024	5.63098
37	9524	5.02867
37	10024	5.45306
38	1024	3.7929
38	1524	4.70611
38	2024	5.24621
38	2524	4.48262
38	3024	4.71744
38	3524	5.10275
38	4024	5.50483
38	4524	4.88592
38	5024	5.024
38	5524	5.03789
38	6024	5.4457
38	6524	5.27139
38	7024	5.11347
38	7524	4.93574
38	8024	5.13536
38	8524	5.38717
38	9024	5.27002
38	9524	4.87629
38	10024	4.89171
39	1024	3.92397
39	1524	4.75488
39	2024	5.31098
39	2524	4.52301
39	3024	4.8384
39	3524	5.2719
39	4024	5.60141
39	4524	4.84973
39	5024	5.14458
39	5524	5.30304
39	6024	5.25293
39	6524	5.53235
39	7024	5.11347
39	7524	5.11632
39	8024	5.13536
39	8524	5.25078
39	9024	5.19782
39	9524	4.95248
39	10024	5.13229
40	1024	3.91578
40	1524	4.68173
40	2024	5.32717
40	2524	4.50282
40	3024	4.88678
40	3524	5.15914
40	4024	5.53702
40	4524	4.63258
40	5024	4.94362
40	5524	5.30304
40	6024	5.30112
40	6524	5.32358
40	7024	5.05728
40	7524	5.2367
40	8024	5.26374
40	8524	5.52355
40	9024	5.48659
40	9524	5.02867
40	10024	4.9719
41	1024	3.86662
41	1524	4.70611
41	2024	5.42432
41	2524	4.36147
41	3024	4.71744
41	3524	5.21552
41	4024	5.47264
41	4524	4.77734
41	5024	4.98381
41	5524	5.08208
41	6024	5.30112
41	6524	5.58454
41	7024	4.8887
41	7524	5.17651
41	8024	5.32794
41	8524	5.45536
41	9024	5.48659
41	9524	4.95248
41	10024	5.21248
42	1024	3.97312
42	1524	4.70611
42	2024	5.35955
42	2524	4.50282
42	3024	5.03194
42	3524	5.24371
42	4024	5.47264
42	4524	4.81354
42	5024	5.18477
42	5524	5.25885
42	6024	5.4457
42	6524	5.63674
42	7024	5.11347
42	7524	4.99594
42	8024	5.32794
42	8524	5.52355
42	9024	5.48659
42	9524	5.02867
42	10024	5.37286
43	1024	3.94035
43	1524	4.74269
43	2024	5.31098
43	2524	4.42205
43	3024	4.91098
43	3524	4.9336
43	4024	5.31168
43	4524	4.59638
43	5024	5.024
43	5524	5.03789
43	6024	5.34931
43	6524	5.48016
43	7024	4.9449
43	7524	5.2367
43	8024	5.26374
43	8524	5.45536
43	9024	5.84755
43	9524	4.87629
43	10024	5.0521
44	1024	3.94035
44	1524	4.77926
44	2024	5.27859
44	2524	4.52301
44	3024	4.81421
44	3524	5.3001
44	4024	5.40826
44	4524	4.66877
44	5024	4.94362
44	5524	5.17046
44	6024	5.06016
44	6524	5.63674
44	7024	5.05728
44	7524	5.11632
44	8024	5.26374
44	8524	5.52355
44	9024	5.70317
44	9524	5.10486
44	10024	4.9719
45	1024	3.96493
45	1524	4.76707
45	2024	5.24621
45	2524	4.58358
45	3024	4.8384
45	3524	5.13094
45	4024	5.6336
45	4524	4.88592
45	5024	5.024
45	5524	5.12627
45	6024	5.30112
45	6524	5.53235
45	7024	4.9449
45	7524	5.05613
45	8024	5.32794
45	8524	5.31898
45	9024	5.4144
45	9524	4.95248
45	10024	4.9719
46	1024	3.94035
46	1524	4.69392
46	2024	5.29478
46	2524	4.5432
46	3024	4.95936
46	3524	4.96179
46	4024	5.53702
46	4524	4.92211
46	5024	5.06419
46	5524	5.08208
46	6024	5.54208
46	6524	5.58454
46	7024	5.11347
46	7524	5.17651
46	8024	5.39213
46	8524	5.59174
46	9024	5.19782
46	9524	5.02867
46	10024	5.37286
47	1024	3.94035
47	1524	4.7183
47	2024	5.18144
47	2524	4.48262
47	3024	4.91098
47	3524	5.3001
47	4024	5.44045
47	4524	4.92211
47	5024	5.024
47	5524	5.25885
47	6024	5.4457
47	6524	5.58454
47	7024	4.83251
47	7524	4.81536
47	8024	5.39213
47	8524	5.25078
47	9024	5.4144
47	9524	4.57152
47	10024	5.29267
48	1024	3.96493
48	1524	4.75488
48	2024	5.35955
48	2524	4.52301
48	3024	4.88678
48	3524	5.24371
48	4024	5.56922
48	4524	4.81354
48	5024	5.06419
48	5524	4.86112
48	6024	5.30112
48	6524	5.53235
48	7024	5.22586
48	7524	5.05613
48	8024	5.26374
48	8524	5.18259
48	9024	5.55878
48	9524	4.87629
48	10024	5.37286
49	1024	3.85024
49	1524	4.84022
49	2024	5.29478
49	2524	4.46243
49	3024	4.91098
49	3524	5.18733
49	4024	5.60141
49	4524	4.74115
49	5024	5.024
49	5524	5.39142
49	6024	5.63846
49	6524	5.58454
49	7024	4.9449
49	7524	5.2367
49	8024	5.26374
49	8524	5.25078
49	9024	5.48659
49	9524	5.10486
49	10024	4.81152
50	1024	3.90758
50	1524	4.79146
50	2024	5.23002
50	2524	4.56339
50	3024	4.88678
50	3524	5.21552
50	4024	5.37606
50	4524	4.70496
50	5024	5.18477
50	5524	5.25885
50	6024	5.59027
50	6524	5.53235
50	7024	4.83251
50	7524	5.11632
50	8024	5.13536
50	8524	5.25078
50	9024	5.55878
50	9524	5.10486
50	10024	5.13229
